Sr. No.,Page Number,College Code,College Name,Course Code,Course Name,Status,Level,Stage,Caste_Category,Cutoff Rank,Cutoff Percentile
1,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GOPENS,34240,88.5013511
2,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSCS,62739,77.8445199
3,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSTS,91124,65.8812284
4,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GVJS,54224,81.2928705
5,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT1S,34281,88.4426131
6,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT2S,41658,85.7455441
7,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT3S,35923,87.8945473
8,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GOBCS,42649,85.3822102
9,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSEBCS,69130,75.3516004
10,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LOPENS,35071,88.1228442
11,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSCS,47557,83.6393990
12,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSTS,89332,66.8505265
13,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LVJS,54046,81.3738935
14,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LNT2S,80230,70.8722936
15,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LOBCS,47396,83.6467428
16,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSEBCS,112136,55.2318816
17,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDOPENS,115494,53.7694785
18,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDOBCS,153595,27.6622718
19,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOPENS,88930,67.0458361
20,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOBCS,124882,47.9842799
21,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,TFWS,41891,85.5352459
22,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDROBC,155782,25.6482713
23,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,SDEFRSEBC,120638,50.6340761
24,1,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,SEWS,90204,66.1855163
25,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GOPENS,7872,97.3911937
26,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSCS,17571,94.1713006
27,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSTS,56026,80.5896708
28,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GVJS,17052,94.3331807
29,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT1S,16746,94.4433332
30,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT2S,16443,94.5541467
31,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GOBCS,8931,97.0436452
32,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSEBCS,15942,94.6903844
33,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LOPENS,9308,96.9066937
34,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSCS,15485,94.8376426
35,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSTS,45930,84.2430574
36,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LNT1S,20457,93.2139295
37,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LNT3S,23863,92.0214155
38,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LOBCS,9823,96.7545639
39,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSEBCS,15409,94.8397684
40,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDOPENS,33711,88.6037289
41,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDOBCS,49777,82.7778711
42,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOPENS,27598,90.7773660
43,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOBCS,36001,87.8152279
44,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,TFWS,5518,98.1177725
45,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDRSCS,46875,83.7529730
46,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFROBCS,31634,89.3071786
47,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,ORPHAN,40407,86.1764583
48,1,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,EWS,13851,95.3932298
49,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,GOPENS,12001,96.0264086
50,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,GSCS,22810,92.4262209
51,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,GSTS,57428,80.0615027
52,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,GVJS,22090,92.6351162
53,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT1S,22548,92.5251996
54,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT2S,18106,93.9913601
55,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT3S,17692,94.1151780
56,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,GOBCS,12727,95.8067495
57,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,GSEBCS,18460,93.8710080
58,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,LOPENS,11632,96.1687682
59,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,LSCS,22774,92.4273158
60,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,LSTS,62455,78.1496564
61,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,LNT2S,20674,93.1131822
62,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,LOBCS,12683,95.8198477
63,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,LSEBCS,19600,93.4764585
64,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDOPENS,84120,69.2652564
65,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDOBCS,109674,57.0470967
66,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOPENS,33941,88.5539410
67,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOBCS,51336,82.1878954
68,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,TFWS,9964,96.7229568
69,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDRSCS,87457,67.6869909
70,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFRNT1S,37872,87.1012785
71,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,ORPHAN,100069,61.6354671
72,1,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous Home University : Autonomous Institute,State Level,I,EWS,18299,93.9032684
73,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GOPENS,28736,90.3847828
74,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSCS,42636,85.3822102
75,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSTS,109844,57.0470967
76,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GVJS,40155,86.2190813
77,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT2S,43440,85.1704164
78,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT3S,64967,76.9332320
79,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GOBCS,30164,89.8747850
80,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSEBCS,47938,83.5369475
81,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LOPENS,25978,91.2954950
82,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSCS,50448,82.7086811
83,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSTS,107619,57.4142590
84,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LVJS,43053,85.2662319
85,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LNT1S,34017,88.5172385
86,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LOBCS,30050,89.8755527
87,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSEBCS,61280,78.4507504
88,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDOPENS,126496,47.0113809
89,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDOBCS,153875,27.5123271
90,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOPENS,48986,83.0327460
91,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOBCS,164128,18.5574725
92,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,TFWS,27443,90.8058519
93,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFROBCS,82621,69.8003760
94,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,ORPHAN,80761,70.5215521
95,1,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,EWS,49718,82.7820291
96,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,GOPENS,17552,94.1713006
97,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,GSCS,32759,88.9034341
98,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,GSTS,76500,72.5041736
99,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,GVJS,33193,88.7742666
100,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT1S,24939,91.6557848
101,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT2S,22199,92.6335559
102,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT3S,31829,89.2671256
103,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,GOBCS,18536,93.8694333
104,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,GSEBCS,23887,92.0214155
105,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,LOPENS,15100,95.0167998
106,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,LSCS,29378,90.0992619
107,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,LSTS,122393,49.7949643
108,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,LVJS,50918,82.4751693
109,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,LNT2S,32583,89.0036224
110,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,LOBCS,17050,94.3331807
111,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,LSEBCS,25005,91.6345444
112,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDOPENS,136974,40.1585977
113,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDOBCS,164763,17.7766170
114,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOPENS,21433,92.8871646
115,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOBCS,63680,77.7634641
116,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,TFWS,14636,95.1705464
117,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFROBCS,56268,80.5358903
118,2,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous Home University : Autonomous Institute,State Level,I,EWS,23715,92.1089443
119,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GOPENS,40780,86.1227045
120,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSCS,76436,72.5041736
121,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSTS,153584,27.6622718
122,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GVJS,52977,81.7098306
123,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT1S,55013,80.9741447
124,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT2S,48697,83.1983982
125,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GOBCS,49279,82.8860671
126,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSEBCS,98636,62.7958080
127,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LOPENS,47564,83.6393990
128,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSCS,73240,73.7956676
129,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSTS,155962,25.6482713
130,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LNT3S,48233,83.5013309
131,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LOBCS,51737,82.1493863
132,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSEBCS,38760,86.8242361
133,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,TFWS,55129,80.7858869
134,2,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,EWS,164756,17.7766170
135,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GOPENS,37888,87.0844527
136,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSCS,60509,78.9561170
137,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSTS,108763,57.2163252
138,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GVJS,56098,80.5896708
139,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT1S,59809,79.1318865
140,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT2S,47170,83.7440631
141,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GNT3S,53426,81.4941569
142,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GOBCS,40001,86.2308451
143,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,GSEBCS,69475,75.3410409
144,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LOPENS,41682,85.7455441
145,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSCS,61041,78.5613347
146,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSTS,135907,40.9947600
147,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LNT1S,58310,79.6526596
148,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LNT2S,56879,80.2743712
149,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LOBCS,51638,82.1493863
150,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,LSEBCS,55218,80.7858869
151,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,PWDOPENS,111014,56.0103934
152,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOPENS,115556,53.7694785
153,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFOBCS,153674,27.6622718
154,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,TFWS,39326,86.5743889
155,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,DEFROBCS,129935,44.8929536
156,2,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous Home University : Autonomous Institute,State Level,I,EWS,75778,72.8176141
157,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,GOPENH,29972,90.6223114
158,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,GSCH,32446,89.8224795
159,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,GSTH,128351,49.9497584
160,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,GNT2H,74203,75.2680452
161,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,GOBCH,38311,87.9283936
162,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,GSEBCH,95096,66.8404462
163,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,LOPENH,22742,92.9308861
164,3,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,LOBCH,32441,89.8224795
165,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,GOPENH,115421,53.7694785
166,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,GOBCH,156930,24.5948927
167,4,01005,"Sant Gadge Baba Amravati University,Amravati",0100551710,Oil and Paints Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,LOPENH,125003,47.9842799
168,5,01005,"Sant Gadge Baba Amravati University,Amravati",0100552410,Paper and Pulp Technology,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,LOPENH,164945,17.7533973
169,6,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,GOPENH,99326,62.7216425
170,6,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,GSCH,130487,44.4778985
171,6,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,GOBCH,138866,38.8849565
172,6,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,LOPENH,77899,71.7682877
173,6,01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,University Department Home University : Sant Gadge Baba Amravati University,State Level,I,LSCH,161824,20.9331029
174,7,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,State Level,I,GOPENH,82302,69.8140377
175,7,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,State Level,I,GSCH,91294,65.8812284
176,7,01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Government Home University : Sant Gadge Baba Amravati University,State Level,I,GSTH,143438,35.5925864
